,abbr_name,team,full_name
0,P. Achiuwa,MIA,Precious Achiuwa
1,J. Adams,MIL,Jaylen Adams
2,S. Adams,NOP,Steven Adams
3,B. Adebayo,MIA,Bam Adebayo
4,L. Aldridge,SAS,LaMarcus Aldridge
5,T. Alexander,PHO,Ty-Shon Alexander
6,N. Alexander-Walker,NOP,Nickeil Alexander-Walker
7,G. Allen,MEM,Grayson Allen
8,J. Allen,TOT,Jarrett Allen
9,J. Allen,BRK,Jarrett Allen
10,J. Allen,CLE,Jarrett Allen
11,A. Aminu,ORL,Al-Farouq Aminu
12,K. Anderson,MEM,Kyle Anderson
13,G. Antetokounmpo,MIL,Giannis Antetokounmpo
14,K. Antetokounmpo,LAL,Kostas Antetokounmpo
15,T. Antetokounmpo,MIL,Thanasis Antetokounmpo
16,C. Anthony,POR,Carmelo Anthony
17,C. Anthony,ORL,Cole Anthony
18,O. Anunoby,TOR,OG Anunoby
19,R. Arcidiacono,CHI,Ryan Arcidiacono
20,D. Augustin,MIL,D.J. Augustin
21,D. Avdija,WAS,Deni Avdija
23,D. Ayton,PHO,Deandre Ayton
24,U. Azubuike,UTA,Udoka Azubuike
25,D. Bacon,ORL,Dwayne Bacon
26,M. Bagley,SAC,Marvin Bagley III
27,L. Ball,CHO,LaMelo Ball
28,L. Ball,NOP,Lonzo Ball
29,M. Bamba,ORL,Mo Bamba
30,D. Bane,MEM,Desmond Bane
31,H. Barnes,SAC,Harrison Barnes
32,R. Barrett,NYK,RJ Barrett
33,W. Barton,DEN,Will Barton
34,K. Bates-Diop,SAS,Keita Bates-Diop
35,N. Batum,LAC,Nicolas Batum
36,A. Baynes,TOR,Aron Baynes
37,K. Bazemore,GSW,Kent Bazemore
38,D. Bazley,OKC,Darius Bazley
39,B. Beal,WAS,Bradley Beal
40,M. Beasley,MIN,Malik Beasley
41,J. Bell,WAS,Jordan Bell
42,D. Bembry,TOR,DeAndre' Bembry
44,D. Bertans,WAS,Davis Bertans
45,P. Beverley,LAC,Patrick Beverley
46,S. Bey,DET,Saddiq Bey
47,T. Bey,DAL,Tyler Bey
48,K. Birch,ORL,Khem Birch
49,G. Bitadze,IND,Goga Bitadze
50,B. Biyombo,CHO,Bismack Biyombo
51,N. Bjelica,SAC,Nemanja Bjelica
52,E. Bledsoe,NOP,Eric Bledsoe
53,K. Blevins,POR,Keljin Blevins
54,B. Bogdanovic,ATL,Bogdan Bogdanovic
55,B. Bogdanovic,UTA,Bojan Bogdanovic
56,B. Bol,DEN,Bol Bol
57,M. Bolden,CLE,Marques Bolden
58,J. Bone,ORL,Jordan Bone
59,I. Bonga,WAS,Isaac Bonga
60,D. Booker,PHO,Devin Booker
61,C. Boucher,TOR,Chris Boucher
62,B. Bowen,IND,Brian Bowen
63,A. Bradley,MIA,Avery Bradley
65,T. Bradley,PHI,Tony Bradley
66,J. Brantley,UTA,Jarrell Brantley
67,I. Brazdeikis,NYK,Ignas Brazdeikis
68,M. Bridges,PHO,Mikal Bridges
69,M. Bridges,CHO,Miles Bridges
70,M. Brogdon,IND,Malcolm Brogdon
71,D. Brooks,MEM,Dillon Brooks
72,B. Brown,BRK,Bruce Brown
73,J. Brown,BOS,Jaylen Brown
74,M. Brown,OKC,Moses Brown
75,S. Brown,HOU,Sterling Brown
76,T. Brown,WAS,Troy Brown Jr.
77,J. Brunson,DAL,Jalen Brunson
78,T. Bryant,WAS,Thomas Bryant
79,R. Bullock,NYK,Reggie Bullock
80,T. Burke,DAL,Trey Burke
81,A. Burks,NYK,Alec Burks
82,J. Butler,MIA,Jimmy Butler
83,B. Caboclo,HOU,Bruno Caboclo
84,D. Cacok,LAL,Devontae Cacok
86,K. Caldwell-Pope,LAL,Kentavious Caldwell-Pope
87,F. Campazzo,DEN,Facundo Campazzo
88,V. Cancar,DEN,Vlatko Cancar
89,C. Capela,ATL,Clint Capela
90,V. Carey,CHO,Vernon Carey Jr.
91,J. Carter,PHO,Jevon Carter
92,W. Carter,CHI,Wendell Carter Jr.
93,M. Carter-Williams,ORL,Michael Carter-Williams
94,A. Caruso,LAL,Alex Caruso
95,W. Cauley-Stein,DAL,Willie Cauley-Stein
96,C. Chiozza,BRK,Chris Chiozza
